"TOA5","GolfCourse","CR200X","No_SN","CR200X.Std.03.01","Base_CR200X_Program.cr2","38323","Daily"
"TIMESTAMP","RECORD","BattV_Min","Rain_in_Tot"
"TS","RN","Volts","inch"
"","","Min","Tot"
"2015-04-20 24:00:00",6,12.34982,0
"2015-04-21 24:00:00",7,12.39431,0
"2015-04-22 24:00:00",8,12.43293,0
"2015-04-23 24:00:00",9,12.39767,0.01
"2015-04-24 24:00:00",10,12.35906,0
"2015-04-25 24:00:00",11,12.37165,0
"2015-04-26 24:00:00",12,12.40942,0
"2015-04-27 24:00:00",13,12.38256,0
"2015-04-28 24:00:00",14,12.23986,0
"2015-04-29 24:00:00",15,12.13745,0
"2015-04-30 24:00:00",16,12.34059,0
"2015-05-01 24:00:00",17,12.38004,0
"2015-05-02 24:00:00",18,12.39264,0
"2015-05-03 24:00:00",19,12.37836,0
"2015-05-04 24:00:00",20,12.40691,0
"2015-05-05 24:00:00",21,12.41026,0
"2015-05-06 24:00:00",22,12.39767,0.16
"2015-05-07 24:00:00",23,12.39683,0.02
"2015-05-08 24:00:00",24,12.37585,0
"2015-05-09 24:00:00",25,12.28183,0
"2015-05-10 24:00:00",26,12.32128,0
"2015-05-11 24:00:00",27,12.24825,0
"2015-05-12 24:00:00",28,12.06945,0
"2015-05-13 24:00:00",29,11.81678,0.01
"2015-05-14 24:00:00",30,7.256949,0.04
"2015-05-15 24:00:00",31,5.795485,0
"2015-05-16 24:00:00",32,7.5986,0.05
"2015-05-17 24:00:00",33,12.15759,0.01
"2015-05-18 24:00:00",34,8.070365,0
"2015-05-19 24:00:00",35,11.73032,0
"2015-05-20 24:00:00",36,12.2046,0.01
"2015-05-21 24:00:00",37,12.24993,0.02
"2015-05-22 24:00:00",38,10.97063,0
"2015-05-23 24:00:00",39,7.918427,0
"2015-05-24 24:00:00",40,7.562505,0
"2015-05-25 24:00:00",41,6.578682,0
"2015-05-26 24:00:00",42,7.92766,0
"2015-05-27 24:00:00",43,12.29022,0
"2015-05-28 24:00:00",44,12.35402,0.05999999
"2015-05-29 24:00:00",45,12.31289,0.07999999
"2015-05-30 24:00:00",46,12.33136,0.07999999
"2015-05-31 24:00:00",47,12.3322,0.01
"2015-06-01 24:00:00",48,12.34143,0.01
"2015-06-02 24:00:00",49,12.36745,0.01
"2015-06-03 24:00:00",50,12.37753,0
"2015-06-04 24:00:00",51,12.36074,0
"2015-06-05 24:00:00",52,12.3599,0
"2015-06-06 24:00:00",53,12.36997,0
