"TOA5","LSPS Weather","CR800","31766","CR800.Std.27","CPU:EvapTransWxStation_revB.CR8","24097","Daily"
"TIMESTAMP","RECORD","BattV_Min","BattV_Max","Rain_in_Tot"
"TS","RN","Volts","Volts","inch"
"","","Min","Max","Tot"
"2015-04-20 24:00:00",273,12.13,13.35,0
"2015-04-21 24:00:00",274,12.13,13.29,0
"2015-04-22 24:00:00",275,12.19,13.17,0
"2015-04-23 24:00:00",276,12.21,13.1,0
"2015-04-24 24:00:00",277,12.19,13.16,0.6
"2015-04-25 24:00:00",278,12.22,13.18,0.07
"2015-04-26 24:00:00",279,12.21,13.17,0
"2015-04-27 24:00:00",280,12.19,13.21,0.9
"2015-04-28 24:00:00",281,12.09,13.08,0.02
"2015-04-29 24:00:00",282,12.01,13.28,0
"2015-04-30 24:00:00",283,12.2,13.3,0
"2015-05-01 24:00:00",284,12.2,13.27,0
"2015-05-02 24:00:00",285,12.19,13.22,0
"2015-05-03 24:00:00",286,12.18,13.23,0
"2015-05-04 24:00:00",287,12.22,13.16,0
"2015-05-05 24:00:00",288,12.22,13.17,0.01
"2015-05-06 24:00:00",289,12.22,13.2,0.24
"2015-05-07 24:00:00",290,12.24,13.11,0
"2015-05-08 24:00:00",291,12.25,13.08,0
"2015-05-09 24:00:00",292,12.19,13.07,0.01
"2015-05-10 24:00:00",293,12.27,13.09,0
"2015-05-11 24:00:00",294,12.17,13.2,0.7
"2015-05-12 24:00:00",295,12.12,13.18,0.01
"2015-05-13 24:00:00",296,12.05,12.73,0.01
"2015-05-14 24:00:00",297,12,13.01,0.03
"2015-05-15 24:00:00",298,12.09,12.85,0.2
"2015-05-16 24:00:00",299,12.02,13.02,0.15
"2015-05-17 24:00:00",300,12.18,13.11,0.09
"2015-05-18 24:00:00",301,12.09,13.1,1.29
"2015-05-19 24:00:00",302,12.15,13.09,0
"2015-05-20 24:00:00",303,12.19,13.09,0
"2015-05-21 24:00:00",304,12.21,13.22,0
"2015-05-22 24:00:00",305,12.11,13.19,0.01
"2015-05-23 24:00:00",306,12.18,13.11,0.21
"2015-05-24 24:00:00",307,12.12,13.15,1.26
"2015-05-25 24:00:00",308,12.15,13.08,2.36
"2015-05-26 24:00:00",309,12.08,13.08,0
"2015-05-27 24:00:00",310,12.2,13.16,0.97
"2015-05-28 24:00:00",311,12.23,13.1,0
"2015-05-29 24:00:00",312,12.19,13.18,0.33
"2015-05-30 24:00:00",313,12.21,13.12,0
"2015-05-31 24:00:00",314,12.19,13.16,0
"2015-06-01 24:00:00",315,12.19,13.17,0
"2015-06-02 24:00:00",316,12.21,13.15,0
"2015-06-03 24:00:00",317,12.22,13.1,0
"2015-06-04 24:00:00",318,12.22,13.09,0
"2015-06-05 24:00:00",319,12.21,13.08,0
"2015-06-06 24:00:00",320,12.21,13.07,0
"2015-06-07 24:00:00",321,12.23,13.08,0
"2015-06-08 24:00:00",322,12.22,13.14,0
"2015-06-09 24:00:00",323,12.22,13.07,0
"2015-06-10 24:00:00",324,12.24,13.06,0
"2015-06-11 24:00:00",325,12.23,13.08,0
"2015-06-12 24:00:00",326,12.25,13.05,0.03
"2015-06-13 24:00:00",327,12.25,13.08,0
"2015-06-14 24:00:00",328,12.24,13.13,0.11
"2015-06-15 24:00:00",329,12.23,13.07,0.13
"2015-06-16 24:00:00",330,12.23,13.09,0.64
"2015-06-17 24:00:00",331,12.18,13.08,0.93
"2015-06-18 24:00:00",332,12.26,13.11,0.22
"2015-06-19 24:00:00",333,12.23,13.06,0.15
"2015-06-20 24:00:00",334,12.26,13.08,0.14
