"TOA5","LSPS Weather","CR800","31766","CR800.Std.27","CPU:EvapTransWxStation_revB.CR8","24097","Hour"
"TIMESTAMP","RECORD","BattV_Min","AirTF_Min","AirTF_Max","AirTF_Avg","RH_Min","RH_Max","SlrkW_Avg","SlrMJ_Tot","WS_mph_Avg","WS_mph_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","Rain_in_Tot"
"TS","RN","Volts","Deg F","Deg F","Deg F","%","%","kW/m^2","MJ/m^2","miles/Hour","miles/Hour","Deg","Deg","inch"
"","","Min","Min","Max","Avg","Min","Max","Avg","Tot","Avg","WVc","WVc","WVc","Tot"
"2015-04-20 10:00:00",6548,13.12,57.76,61.87,59.64,41.4,61.97,0.491,1.765892,7.272,7.272,16.53,19.76,0
"2015-04-20 11:00:00",6549,13.19,60.65,64.11,62.46,35.35,48.93,0.594,2.138605,9.07,9.07,19.48,21.01,0
"2015-04-20 12:00:00",6550,13.15,63.55,66.65,65.26,31.19,45.1,0.846,3.045326,9.4,9.4,23.15,19.94,0
"2015-04-20 13:00:00",6551,13.14,65.61,67.85,66.73,29.37,46.28,0.783,2.817534,7.388,7.388,18.77,21.54,0
"2015-04-20 14:00:00",6552,13.13,67.3,70.46,68.49,30.68,51.54,0.905,3.259086,6.529,6.529,22.09,25.5,0
"2015-04-20 15:00:00",6553,13.12,68.7,70.76,69.68,31.29,51.44,0.862,3.102187,5.65,5.65,25.63,25.6,0
"2015-04-20 16:00:00",6554,13.1,69.42,71.48,70.24,31.53,46.92,0.763,2.746291,5.971,5.971,31.47,24.23,0
"2015-04-20 17:00:00",6555,13.11,69.71,71.97,70.79,31.73,49.92,0.591,2.126917,5.26,5.26,30.72,22.18,0
"2015-04-20 18:00:00",6556,13.03,69.42,71.73,70.34,30.54,44.55,0.375,1.351722,4.818,4.818,14.79,22.34,0
"2015-04-20 19:00:00",6557,12.61,67,70.09,68.45,36.46,50.33,0.138,0.4974582,3.483,3.483,16.86,15.26,0
"2015-04-20 20:00:00",6558,12.44,63.19,67.37,65.3,44.8,70.9,0.022,0.08037592,0.283,0.283,18.19,4.751,0
"2015-04-20 21:00:00",6559,12.41,61.38,63.55,62.53,60.97,81.5,0,0.0004871326,0,0,0,0,0
"2015-04-20 22:00:00",6560,12.37,60.23,61.62,60.71,69.96,83.5,0,0.0001220804,0,0,0,0,0
"2015-04-20 23:00:00",6561,12.35,60.05,60.84,60.39,76.76,88.2,0,0.0001251209,0,0,0,0,0
"2015-04-20 24:00:00",6562,12.33,59.86,61.57,60.83,68.08,88.4,0,0.0001231035,0.252,0.252,40.22,3.863,0
"2015-04-21 01:00:00",6563,12.31,59.87,61.57,60.92,68.85,76.18,0,0.0001765816,0.941,0.941,42.78,6.719,0
"2015-04-21 02:00:00",6564,12.3,58.71,60.41,59.71,72.87,79.22,0,0.0001513587,0.996,0.996,41.81,10.02,0
"2015-04-21 03:00:00",6565,12.27,55.63,59.08,57.22,74.36,81.6,0,0.0001988062,1.294,1.294,39.8,6.567,0
"2015-04-21 04:00:00",6566,12.25,54.42,56,55.15,79.18,83.9,0,0.0002684513,0.95,0.95,31.87,10.43,0
"2015-04-21 05:00:00",6567,12.2,52.55,54.92,53.66,79.08,87.8,0,8.276599E-005,0.069,0.069,28.21,4.997,0
"2015-04-21 06:00:00",6568,12.16,52.55,54.68,53.55,75.44,86.5,0,9.085896E-005,0.808,0.808,66.18,10.54,0
"2015-04-21 07:00:00",6569,12.13,52.01,54.2,53.03,78.51,85.2,0.001,0.003883742,0.914,0.914,34.1,14.46,0
"2015-04-21 08:00:00",6570,12.13,51.82,57.18,53.94,71.66,86.5,0.067,0.2401485,1.659,1.659,49.93,15.84,0
"2015-04-21 09:00:00",6571,12.24,56.81,62.84,59.89,54.37,74.39,0.274,0.988052,4.05,4.05,71.6,16.87,0
"2015-04-21 10:00:00",6572,13.03,62.6,67.68,65.2,45.44,60.41,0.502,1.806078,5.286,5.286,87.4,22.79,0
"2015-04-21 11:00:00",6573,13.11,67.02,71.19,69.13,38.18,54.83,0.692,2.490743,4.644,4.644,119.9,31.66,0
"2015-04-21 12:00:00",6574,13.09,70.4,74.44,71.82,35.27,47.12,0.835,3.004949,4.576,4.576,136.7,28.77,0
"2015-04-21 13:00:00",6575,13.05,72.92,75.34,74.05,34.39,45.46,0.927,3.337817,4.535,4.535,146.2,28.43,0
"2015-04-21 14:00:00",6576,13.06,73.22,76.19,74.7,35.73,49.13,0.868,3.123145,4.581,4.581,160.8,29.29,0
"2015-04-21 15:00:00",6577,13.06,73.89,77.29,75.67,35.9,49.54,0.673,2.422555,4.821,4.821,160.8,29.59,0
"2015-04-21 16:00:00",6578,13.05,75.53,77.83,76.67,37.89,46.26,0.775,2.790387,5.887,5.887,163,28.97,0
"2015-04-21 17:00:00",6579,13.04,76.62,78.2,77.51,37.35,46.06,0.64,2.30563,5.432,5.432,164.1,27.76,0
