"TOA5","LiftStation158","CR200X","No_SN","CR200X.Std.03.01","Base_CR200X_Program.cr2","38323","Daily"
"TIMESTAMP","RECORD","BattV_Min","Rain_in_Tot"
"TS","RN","Volts","inch"
"","","Min","Tot"
"2015-04-20 24:00:00",6,12.25329,0
"2015-04-21 24:00:00",7,12.28855,0
"2015-04-22 24:00:00",8,12.31709,0
"2015-04-23 24:00:00",9,12.29022,0
"2015-04-24 24:00:00",10,12.26,1.349999
"2015-04-25 24:00:00",11,12.26672,0.08999999
"2015-04-26 24:00:00",12,12.30953,0
"2015-04-27 24:00:00",13,12.28351,1.039999
"2015-04-28 24:00:00",14,12.14752,0.02
"2015-04-29 24:00:00",15,12.03503,0
"2015-04-30 24:00:00",16,12.20124,0
"2015-05-01 24:00:00",17,12.28099,0
"2015-05-02 24:00:00",18,12.28183,0
"2015-05-03 24:00:00",19,12.30198,0
"2015-05-04 24:00:00",20,12.30869,0
"2015-05-05 24:00:00",21,12.3238,0.05999999
"2015-05-06 24:00:00",22,12.30701,0.5299998
"2015-05-07 24:00:00",23,12.30701,0
"2015-05-08 24:00:00",24,12.30365,0
"2015-05-09 24:00:00",25,12.20208,0
"2015-05-10 24:00:00",26,12.22643,0
"2015-05-11 24:00:00",27,12.16599,1.389999
"2015-05-12 24:00:00",28,12.00733,0.33
"2015-05-13 24:00:00",29,11.82685,0.4399998
"2015-05-14 24:00:00",30,11.70597,0.26
"2015-05-15 24:00:00",31,11.73284,0.4299999
"2015-05-16 24:00:00",32,11.60776,0
"2015-05-17 24:00:00",33,11.87051,0.7899995
"2015-05-18 24:00:00",34,11.70262,0.21
"2015-05-19 24:00:00",35,11.81762,0
"2015-05-20 24:00:00",36,11.94102,0
"2015-05-21 24:00:00",37,12.05518,0
"2015-05-22 24:00:00",38,11.92843,0.01
"2015-05-23 24:00:00",39,11.99054,0.05999999
"2015-05-24 24:00:00",40,11.99474,0.7999995
"2015-05-25 24:00:00",41,12.00649,2.839998
"2015-05-26 24:00:00",42,11.89569,0
"2015-05-27 24:00:00",43,12.13745,1.119999
"2015-05-28 24:00:00",44,12.22307,0
"2015-05-29 24:00:00",45,12.22559,0.3999999
"2015-05-30 24:00:00",46,12.26504,0
"2015-05-31 24:00:00",47,12.25077,0
"2015-06-01 24:00:00",48,12.26756,0
"2015-06-02 24:00:00",49,12.28855,0
"2015-06-03 24:00:00",50,12.2961,0
"2015-06-04 24:00:00",51,12.31876,0
"2015-06-05 24:00:00",52,12.32044,0
