"TOA5","Plant 1","CR200X","No_SN","CR200X.Std.03.01","Base_CR200X_Program.cr2","38323","Daily"
"TIMESTAMP","RECORD","BattV_Min","Rain_in_Tot"
"TS","RN","Volts","inch"
"","","Min","Tot"
"2015-04-20 24:00:00",6,12.18026,0.09999999
"2015-04-21 24:00:00",7,12.20628,0.08999999
"2015-04-22 24:00:00",8,12.23398,0.01
"2015-04-23 24:00:00",9,12.22223,0
"2015-04-24 24:00:00",10,12.18865,1.059999
"2015-04-25 24:00:00",11,12.19117,0.07999999
"2015-04-26 24:00:00",12,12.23566,0
"2015-04-27 24:00:00",13,12.2088,0.6999996
"2015-04-28 24:00:00",14,12.06358,0.02
"2015-04-29 24:00:00",15,11.96368,0.01
"2015-04-30 24:00:00",16,12.15004,0.01
"2015-05-01 24:00:00",17,12.20376,0
"2015-05-02 24:00:00",18,12.20712,0
"2015-05-03 24:00:00",19,12.21048,0
"2015-05-04 24:00:00",20,12.22894,0
"2015-05-05 24:00:00",21,12.21635,0.04
"2015-05-06 24:00:00",22,12.22475,0.4199999
"2015-05-07 24:00:00",23,12.21048,0.06999999
"2015-05-08 24:00:00",24,12.2046,0.04
"2015-05-09 24:00:00",25,12.10555,0.02
"2015-05-10 24:00:00",26,12.13577,0
"2015-05-11 24:00:00",27,12.06777,0.29
"2015-05-12 24:00:00",28,11.89317,0.02
"2015-05-13 24:00:00",29,11.70681,0.02
"2015-05-14 24:00:00",30,7.372791,0
"2015-05-15 24:00:00",31,6.770914,0
"2015-05-16 24:00:00",32,7.639733,0.03
"2015-05-17 24:00:00",33,12.0023,0.02
"2015-05-18 24:00:00",34,7.92766,0.02
"2015-05-19 24:00:00",35,9.20109,0.04
"2015-05-20 24:00:00",36,12.02664,0.02
"2015-05-21 24:00:00",37,12.07868,0
"2015-05-22 24:00:00",38,11.94857,0.01
"2015-05-23 24:00:00",39,11.76306,0
"2015-05-24 24:00:00",40,11.57502,0.01
"2015-05-25 24:00:00",41,11.95109,0.01
"2015-05-26 24:00:00",42,7.336696,0.03
"2015-05-27 24:00:00",43,12.10639,0.06999999
"2015-05-28 24:00:00",44,12.18194,0.05999999
"2015-05-29 24:00:00",45,12.13913,0.09999999
"2015-05-30 24:00:00",46,12.17186,0.08999999
"2015-05-31 24:00:00",47,12.17019,0.04
"2015-06-01 24:00:00",48,12.1727,0.02
"2015-06-02 24:00:00",49,12.19789,0.01
"2015-06-03 24:00:00",50,12.21551,0
